StartDate,EndDate,Title,RelatedEvents,Description,Footnotes,Image,ForMoreSee,Ref,Location,Influences,Empire,Tags
1808/08/21,,Battle of Vimeriro,,Wellington defeats French forces in Portugal,,,,http://www.napoleonsims.com/timeline/timeline.htm,"39.178267, -9.316993",,,
1808/11/05,,Napoleon assumes command in Spain,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,ESP,,,
1808/12/04,,Napoleon enters Madrid,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"40.416775, -3.70379",,,
1809/01/16,,Battle of Corunna,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"43.362344, -8.41154",ESP,,
1809/01/17,,Napoleon returns to France,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,FRA,,,
1809/04/09,,Austrians invade Bavaria,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"AUT; 48.790447, 11.497889",,,
1809/04/19,,Battle of Teugn-Hausen,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"893202, 12.012886",,,
1809/04/20,,Battle of Abensburg,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.817718, 11.850787",,,
1809/04/21,,Battle of Landshut,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.544192, 12.146853",,,
1809/04/22,,Battle of Eckmuhl,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.844083, 12.18215",,,
1809/05/12,,Battle of Oporto,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"41.157944, -8.629105",,,
1809/05/21,1809/05/22,Battle of Essling,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.233035, 16.530371",,,
1809/06/06,,Battle of Wagram,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.299052, 16.564012",,,
1809/07/28,1809/07/29,Battle of Talavera,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"39.962884, -4.830454",,,
1809/10/14,,Treaty of Schonbrunn,,Between Austria and France,,,,http://www.napoleonsims.com/timeline/timeline.htm,"49.411858, 8.927034",AUT; FRA,,
1809/12/15,,Napoleon divorces Joesphine,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,FRA,,,
1810/04/22,,Napoleon marries Marie-Louise of Austria,Marie-Louise bears Napoleon a son,,,,,http://www.napoleonsims.com/timeline/timeline.htm,FRA,,,
1810/07/09,,Messena takes Cuidad Rodrigo,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"40.599401, -6.530716",,,
1810/09/27,,Battle of Bussaco,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"40.350000, -8.35",,,
1810/10/10,,Wellington retires behind Lines of Torres Verdes,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"39.091776, -9.260034",,,
1811/03/05,,Messena begins withdrawal from Portugal,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,PRT,,,
1811/03/20,,Marie-Louise bears Napoleon a son,Napoleon marries Marie-Louise of Austria,Given title 'King of Rome',,,,http://www.napoleonsims.com/timeline/timeline.htm,FRA,,,
1811/05/03,1811/05/05,Battle of Fuentes de Onoro,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"40.589908, -6.812325",,,
1811/05/15,,Battle of Albuera,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"38.717028, -6.823041",,,
1811/12/23,,Napoleon begins preparations to invade Russia,Napoleon invades Russia,,,,,http://www.napoleonsims.com/timeline/timeline.htm,FRA,RUS,,
1812/01/19,,Wellington captures Ciudad Rodrigo,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"40.599401, -6.530716",,,
1812/04/06,,Wellington captures Badajoz,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"38.879449, -6.970654",,,
1812/06/20,,Sixth Coalition formed,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1812/06/24,,Napoleon invades Russia,Napoleon begins preparations to invade Russia,,,,,http://www.napoleonsims.com/timeline/timeline.htm,FRA; RUS,FRA; RUS,,
1812/07/22,,Battle of Salamanca,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"40.970104, -5.66354",,,
1812/08/17,1812/08/19,Battle of Smolensk,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"54.790311, 32.050366",,,
1812/09/07,,Battle of Borodino,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"55.529267, 35.823394",,,
1812/09/14,1812/10/19,Napoleon in Moscow,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"55.755826, 37.6173",,,
1812/10/21,,Wellington repulsed at Burgos,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"42.343992, -3.696906",,,
1812/10/24,1812/10/25,Battle of Maloyaroslavets,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"55.007577, 36.46684",,,
1812/11/26,1812/11/28,Battle of Beresina,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"51.021154, -101.749754",,,
1812/12/30,,Yorck signs Convention of Tauroggen,,Prussian Corps defeats from the French Grande Armee,,,,http://www.napoleonsims.com/timeline/timeline.htm,"55.250366, 22.29095",,,
1813/03/04,,Russians enter Berlin,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"52.520007, 13.404954",RUS; DEU,,
1813/03/16,,Prussia declares war on France,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,Prussia; FRA,,,
1813/05/02,,Battle of Lutzen,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"51.255856, 12.141769",,,
1813/05/20,1813/05/21,Battle of Bautzen,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"51.182293, 14.423775",,,
1813/05/23,,Wellington advances into Spain,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,ESP,,,
1813/06/04,1813/08/17,Armistice of Pleichwitz,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1813/06/12,,French evacuate Madrid,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"40.416775, -3.70379",,,
1813/06/21,,Battle of Vitoria,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"42.859166, -2.681792",,,
1813/08/12,,Austria declares War on France,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,AUT; FRA,,,
1813/08/23,,Battle of Grossbeeren,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"52.359420, 13.308943",,,
1813/08/26,,Battle of Katzbach,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.195060, 13.97585",,,
1813/08/26,1813/08/27,Battle of Dresden,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"51.050409, 13.737262",,,
1813/08/30,,Battle of Kulm,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"46.301914, -98.948162",,,
1813/09/06,,Battle of Dennewitz,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"51.966276, 13.007827",,,
1813/19/03,,Battle of Wartenburg,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"51.810597, 12.777408",,,
1813/10/19,1813/10/17,Battle of Leipzig,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"51.339695, 12.373075",,,
1813/10/30,,Battle of Hanau,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"50.126412, 8.92831",,,
1813/11/10,,Battle of Nivelle,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"50.597870, 4.32851",,,
1814/01/29,,Battle of Brienne,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"46.557334, 5.02034",,,
1814/02/01,,Battle of La Rothiere,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.345661, 4.558781",,,
1814/02/10,,Battle of Champaubert,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.878621, 3.776432",,,
1814/02/11,,Battle of Montmirail,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.870165, 3.535925",,,
1814/02/14,,Battle of Vauchamps,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"47.271554, 6.241954",,,
1814/03/09,,Battle of Laon,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"49.564133, 3.61989",,,
1814/03/20,1814/03/21,Battle of Arcis-sur-Aube,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"8.537751, 4.143492",,,
1814/03/30,,Allies enter Paris,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.856614, 2.352222",,,
1814/04/06,,Napoleon abdicates,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.856614, 2.352223",,,
1814/04/10,,Battle of Toulouse,,Wellington defeats Soult,,,,http://www.napoleonsims.com/timeline/timeline.htm,"43.604652, 1.444209",,,
1815/02/26,,Nepoleon escapes Elba,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"42.778187, 10.192739",,,
1815/03/01,,Napoleon lands in France,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,FRA,,,
1815/06/15,,Napoleon crosses into Belgium,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,BEL,,,
1815/06/16,,Battle of Ligny,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"47.412023, -1.376726",,,
1815/06/16,,Battle of Quartre Bras,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"45.326056, 5.656595",,,
1815/06/18,,Battle of Waterloo,,,Napoleon is exiled on St Helena,,,http://www.napoleonsims.com/timeline/timeline.htm,"53.474511, -3.030151",FRA; GBR,,
1815/06/18,,Battle of Wavre,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"50.715896, 4.612808)",,,
1815/06/22,,Napoleon adbidicates,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,FRA,,,
