StartDate,EndDate,Title,RelatedEvents,Description,Footnotes,Image,ForMoreSee,Ref,Location,Influences,Empire,Tags
1813/08/26,1813/08/27,Battle of Dresden,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1813/08/30,,Battle of Kulm,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1813/09/06,,Battle of Dennewitz,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1813/19/03,,Battle of Wartenburg,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1813/10/19,1813/10/17,Battle of Leipzig,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1813/10/30,,Battle of Hanau,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1813/11/10,,Battle of Nivelle,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1814/01/29,,Battle of Brienne,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1814/02/01,,Battle of La Rothiere,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1814/02/10,,Battle of Champaubert,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1814/02/11,,Battle of Montmirail,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1814/02/14,,Battle of Vauchamps,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1814/03/09,,Battle of Laon,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1814/03/20,1814/03/21,Battle of Arcis-sur-Aube,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1814/03/30,,Allies enter Paris,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1814/04/06,,Napoleon abdicates,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1814/04/10,,Battle of Toulouse,,Wellington defeats Soult,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1815/02/26,,Nepoleon escapes Elba,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1815/03/01,,Napoleon lands in France,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1815/06/15,,Napoleon crosses into Belgium,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1815/06/16,,Battle of Ligny,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1815/06/16,,Battle of Quartre Bras,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1815/06/18,,Battle of Waterloo,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1815/06/18,,Battle of Wavre,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1815/06/22,,Napoleon adbidicates,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
